Fwd Packet Length Max,Fwd Packet Length Min,Min Packet Length,Max Packet Length,Average Packet Size,Label,Protocol,Fwd Packets_s,Fwd Header Length,Fwd Header Length 1,min_seg_size_forward,Total Length of Fwd Packets,Fwd Packet Length Std,Flow IAT Min,Subflow Fwd Bytes,Destination Port,Packet Length Std,Flow Duration,Fwd IAT Total,ACK Flag Count,Init_Win_bytes_forward,Flow IAT Mean,Flow IAT Max,Fwd IAT Mean,Fwd IAT Max
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,2,2,2,2
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,3,3,3,3
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,4,4,4,4
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,10,10,10,10
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,15,15,15,15
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,28.333333,83,1,1
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,42,42,42,42
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,43,43,43,43
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,44,44,44,44
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,45,45,45,45
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,46,46,46,46
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,47,47,47,47
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,48,48,48,48
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,49,49,49,49
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,50,50,50,50
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,51,51,51,51
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,53,53,53,53
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,92,92,92,92
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,27549.4,79855,27549.4,79855
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,33375.33333,100124,33375.33333,100124
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,50116,150081,50116,150081
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,50671.2,153160,50671.2,153160
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,80743.61539,372013,80743.61539,372013
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,90645,340933,90645,340933
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,110126.2667,578053,110126.2667,578053
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,122251,366751,122251,366751
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,159804.3077,758007,159804.3077,758007
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,200479.3158,1281241,200479.3158,1281241
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,214179.0667,1136308,214179.0667,1136308
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,289061.7647,1702016,289061.7647,1702016
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,364437.5789,2004931,364437.5789,2004931
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,428564.1429,1000347,428564.1429,1000347
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,568039.3333,1704116,568039.3333,1704116
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,640689,1922066,640689,1922066
0,0,0,0,0,HTTP,0,0,0,0,-1062718975,0,0,0,0,0,0,0,0,0,0,666948.6667,2000845,666948.6667,2000845
