Fwd Packet Length Max,Fwd Packet Length Min,Min Packet Length,Max Packet Length,Average Packet Size,Label,Protocol,Fwd Packets_s,Fwd Header Length,Fwd Header Length 1,min_seg_size_forward,Total Length of Fwd Packets,Fwd Packet Length Std,Flow IAT Min,Subflow Fwd Bytes,Destination Port,Packet Length Std,Flow Duration,Fwd IAT Total,ACK Flag Count,Init_Win_bytes_forward,Flow IAT Mean,Flow IAT Max,Fwd IAT Mean,Fwd IAT Max
0,0,0,0,0,BENIGN,17,0,0,0,20,0,35.08846,0,0,2792,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,34.063666,0,0,18224,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,39952,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,35.08846,0,0,34694,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,330,0,0,0,0,51134,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,34.063666,0,0,18690,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,-1062718975,0,34.063666,0,0,41616,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,32,0,0,0,0,11809,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,34.063666,0,0,47124,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,35.08846,0,0,10851,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,25309,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,14,0,22.51666,0,0,7878,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,375,0,0,0,0,53907,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,330,0,35.08846,0,0,54332,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,35.08846,0,0,49873,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,42766,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,14,0,22.51666,0,0,64092,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,0,0,0,18420,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,43429,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,34.063666,0,0,23411,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,383,0,22.51666,0,0,27643,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,4743,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,22.51666,0,0,58749,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,59965,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,34.063666,0,0,9914,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,35.08846,0,0,60846,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,35398,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,0,0,0,17174,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,35.08846,0,0,56964,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,0,0,0,29549,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,34.063666,0,0,17391,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,14,0,0,0,0,48345,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,44402,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,34.063666,0,0,19589,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,22.51666,0,0,40158,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,0,0,0,19088,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,-1062718975,0,30.127623,0,0,43829,30.703885,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,0,0,0,10152,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,0,0,0,64006,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,22.51666,0,0,43735,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,-1,0,0,0,0,42367,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,-1062718975,0,22.51666,0,0,12948,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,14,0,35.08846,0,0,7709,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,33278,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,35.08846,0,0,15451,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,7338,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,-1062718975,0,0,0,0,37060,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,22.51666,0,0,20888,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,47523,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,22.51666,0,0,61879,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,56828,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,22685,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,63994,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,321,0,34.063666,0,0,13478,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,11190,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,22.51666,0,0,41438,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,0,0,0,63466,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,-1062718975,0,0,0,0,26235,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,50830,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,0,0,0,36596,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,18404,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,22.51666,0,0,40931,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,22.51666,0,0,6854,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,34.063666,0,0,22078,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,34.063666,0,0,36628,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,0,0,0,5793,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,51218,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,34.063666,0,0,65143,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,44304,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,35.08846,0,0,23860,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,0,0,0,30413,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,34.063666,0,0,3074,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,42841,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,61181,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,34.063666,0,0,60337,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,0,0,0,35585,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,28488,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,14412,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,22.51666,0,0,62209,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,10953,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,35.08846,0,0,33405,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,0,0,0,12812,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,35.08846,0,0,30916,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,330,0,35.08846,0,0,65326,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,32,0,0,0,0,26480,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,-1,0,35.08846,0,0,17576,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,34.063666,0,0,36990,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,-1062718975,0,0,0,0,56359,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,-1062718975,0,34.063666,0,0,19276,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,34.063666,0,0,31194,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,34.063666,0,0,53687,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,37227,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,34.063666,0,0,56464,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,14877,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,34.063666,0,0,61731,32.315631,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,35.08846,0,0,40067,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,14,0,0,0,0,13692,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,33036,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,330,0,0,0,0,16405,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,22.51666,0,0,13073,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,-1,0,0,0,0,20472,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,35.08846,0,0,64388,33.617597,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,14,0,0,0,0,2277,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,0,0,0,44138,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,22.51666,0,0,32522,21.36118,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,8,0,0,0,0,33966,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,0,0,0,15613,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,0,0,0,0,0,6820,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BENIGN,17,0,0,0,20,0,22.51666,0,0,25477,21.36118,0,0,0,0,0,0,0,0
